Gene,Score
GENE_00209,5.85273149065
GENE_00478,5.07888080846
GENE_00179,4.72016916659
GENE_00113,4.46324211249
GENE_00220,4.31465856667
GENE_00125,4.19045562581
GENE_00378,4.18980293322
GENE_00374,4.15318245751
GENE_00234,4.14394408933
GENE_00284,4.13303337466
GENE_00252,4.12215619701
GENE_00323,4.09238727569
GENE_00420,4.06074792488
GENE_00460,3.96472513292
GENE_02895,3.92623770644
GENE_00167,3.89679298265
GENE_00106,3.88618590121
GENE_00387,3.87617083922
GENE_00156,3.86577451114
GENE_00031,3.85227818451
GENE_00393,3.83145876585
GENE_00248,3.76545424028
GENE_00421,3.75534084244
GENE_00488,3.68714163507
GENE_00474,3.6449677135
GENE_00266,3.63241130393
GENE_00436,3.62861554557
GENE_00282,3.58601681615
GENE_00006,3.57921281551
GENE_00073,3.56464365581
GENE_00416,3.55115197552
GENE_00135,3.54993440502
GENE_00071,3.53803656647
GENE_00361,3.532738913
GENE_06891,3.52905518757
GENE_00494,3.52312407727
GENE_00003,3.52302985641
GENE_00434,3.5023570521
GENE_00491,3.47994413889
GENE_00082,3.47789404474
GENE_00351,3.47535621695
GENE_00020,3.46564876892
GENE_00177,3.45353407716
GENE_00372,3.4511436078
GENE_00270,3.44127328907
GENE_00122,3.40279431094
GENE_11338,3.37776824129
GENE_08248,3.37738291908
GENE_00425,3.36863155753
GENE_00473,3.36687426744
GENE_00065,3.35624002857
GENE_00397,3.35387237417
GENE_00141,3.30714275428
GENE_00314,3.30547880715
GENE_11464,3.28776118739
GENE_00413,3.2776768219
GENE_00306,3.27766489579
GENE_00256,3.26691114919
GENE_03716,3.24309296959
GENE_00399,3.23781631197
GENE_01615,3.19310756784
GENE_00394,3.17944012072
GENE_00418,3.17929718406
GENE_00272,3.16316375215
GENE_00162,3.15859557901
GENE_00326,3.1581108735
GENE_08726,3.15777128304
GENE_03982,3.15205673451
GENE_00118,3.14282281452
GENE_01957,3.13774853366
GENE_00211,3.13556564018
GENE_00479,3.11957491143
GENE_07223,3.11768112921
GENE_04997,3.11291020104
GENE_02305,3.10991855601
GENE_00311,3.09877685199
GENE_05796,3.09829943407
GENE_00225,3.08895059697
GENE_00202,3.08305124318
GENE_04870,3.07686037018
GENE_00428,3.05842448685
GENE_00047,3.05712222622
GENE_00203,3.05380205203
GENE_00253,3.03246526055
GENE_00054,3.0309995225
GENE_00067,3.00353289789
GENE_08165,2.99281057006
GENE_02521,2.9852590026
GENE_00059,2.97554512712
GENE_00334,2.97511973342
GENE_00423,2.97157095095
GENE_00091,2.96864499053
GENE_00164,2.96337612924
GENE_00373,2.95927082609
GENE_00451,2.9551423205
GENE_00212,2.95400176349
GENE_00388,2.95042383819
GENE_02506,2.94909442531
