Gene,Score
GENE_00232,5.5
GENE_00199,4.7999999999999998
GENE_00280,4.7999999999999998
GENE_00183,4.4000000000000004
GENE_00219,4.4000000000000004
GENE_00393,4.4000000000000004
GENE_00041,4.2999999999999998
GENE_00044,4.2999999999999998
GENE_00145,4.2000000000000002
GENE_00253,4.2000000000000002
GENE_00121,4.0999999999999996
GENE_00333,4
GENE_00365,4
GENE_02261,4
GENE_00319,3.8999999999999999
GENE_00351,3.8999999999999999
GENE_00416,3.8999999999999999
GENE_00424,3.8999999999999999
GENE_00009,3.7999999999999998
GENE_00484,3.7999999999999998
GENE_00040,3.7000000000000002
GENE_00056,3.7000000000000002
GENE_00106,3.7000000000000002
GENE_00195,3.7000000000000002
GENE_00284,3.6000000000000001
GENE_00301,3.6000000000000001
GENE_00321,3.6000000000000001
GENE_00339,3.6000000000000001
GENE_00396,3.6000000000000001
GENE_00104,3.5
GENE_00222,3.5
GENE_00250,3.5
GENE_00264,3.5
GENE_00423,3.5
GENE_02007,3.5
GENE_00014,3.3999999999999999
GENE_00015,3.3999999999999999
GENE_00099,3.3999999999999999
GENE_00114,3.3999999999999999
GENE_00342,3.3999999999999999
GENE_00450,3.3999999999999999
GENE_00454,3.3999999999999999
GENE_00135,3.2999999999999998
GENE_00209,3.2999999999999998
GENE_00427,3.2999999999999998
GENE_00451,3.2999999999999998
GENE_00489,3.2999999999999998
GENE_00491,3.2999999999999998
GENE_01378,3.2999999999999998
GENE_00005,3.2000000000000002
GENE_00017,3.2000000000000002
GENE_00028,3.2000000000000002
GENE_00092,3.2000000000000002
GENE_00100,3.2000000000000002
GENE_00234,3.2000000000000002
GENE_00237,3.2000000000000002
GENE_00276,3.2000000000000002
GENE_00279,3.2000000000000002
GENE_00294,3.2000000000000002
GENE_00300,3.2000000000000002
GENE_00422,3.2000000000000002
GENE_00430,3.2000000000000002
GENE_00909,3.2000000000000002
GENE_00055,3.1000000000000001
GENE_00085,3.1000000000000001
GENE_00101,3.1000000000000001
GENE_00116,3.1000000000000001
GENE_00118,3.1000000000000001
GENE_00124,3.1000000000000001
GENE_00133,3.1000000000000001
GENE_00155,3.1000000000000001
GENE_00224,3.1000000000000001
GENE_00248,3.1000000000000001
GENE_00350,3.1000000000000001
GENE_00023,3
GENE_00033,3
GENE_00053,3
GENE_00061,3
GENE_00132,3
GENE_00277,3
GENE_00297,3
GENE_00392,3
GENE_00417,3
GENE_00445,3
GENE_00476,3
GENE_00483,3
GENE_00031,2.8999999999999999
