axis	random_set_id	n_genes	genes	protein_name	spearman
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R001	9	HIST1H4C;SUMO2;NCL;RPL29;FLNA;FAM120A;NUDC;BUD31;PIGW	HLA_A	-0.07188756842449993
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R001	9	HIST1H4C;SUMO2;NCL;RPL29;FLNA;FAM120A;NUDC;BUD31;PIGW	CD274	0.08533844118567933
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R002	9	YWHAB;PSMA1;UBE2S;RPL28;ACP1;CCDC43;MGST1;SPP1;COL12A1	HLA_A	0.054691908771372914
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R002	9	YWHAB;PSMA1;UBE2S;RPL28;ACP1;CCDC43;MGST1;SPP1;COL12A1	CD274	0.15389242994452107
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R003	9	RPL27A;RPS21;RPS9;LDHB;CSRP1;TTC19;CST3;CNIH4;TEDC2	HLA_A	-0.07251351786731247
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R003	9	RPL27A;RPS21;RPS9;LDHB;CSRP1;TTC19;CST3;CNIH4;TEDC2	CD274	0.1082469679979767
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R004	9	RACK1;TUBA1C;RPS9;TXN;TUFM;RAB27B;IL11;CYTOR;NPEPL1	HLA_A	-0.035931452070656796
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R004	9	RACK1;TUBA1C;RPS9;TXN;TUFM;RAB27B;IL11;CYTOR;NPEPL1	CD274	0.17081085885871802
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R005	9	SLC25A3;HSP90B1;FKBP1A;MT2A;UBXN4;PGRMC2;SIVA1;NDUFC1;ABCA1	HLA_A	-0.11850321906543355
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R005	9	SLC25A3;HSP90B1;FKBP1A;MT2A;UBXN4;PGRMC2;SIVA1;NDUFC1;ABCA1	CD274	0.0837584977155934
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R006	9	SPANXB1;TMEM158;RPLP2;RPS8;CANX;MSH6;IL1B;EIF3G;COG5	HLA_A	-0.04818826402113392
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R006	9	SPANXB1;TMEM158;RPLP2;RPS8;CANX;MSH6;IL1B;EIF3G;COG5	CD274	0.12706193228570517
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R007	9	NDUFS5;RPL22;TUBA1C;H3F3B;NDUFC1;TRIM16L;CCT5;SNAPC1;SND1-IT1	HLA_A	-0.024879075268352785
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R007	9	NDUFS5;RPL22;TUBA1C;H3F3B;NDUFC1;TRIM16L;CCT5;SNAPC1;SND1-IT1	CD274	0.003556522116558605
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R008	9	PSMA3;RPL7;RPS29;PKM;SCAND1;DLGAP5;PRNP;POLR2J;VANGL1	HLA_A	0.0541269117170996
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R008	9	PSMA3;RPL7;RPS29;PKM;SCAND1;DLGAP5;PRNP;POLR2J;VANGL1	CD274	0.11530056217451864
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R009	9	TFPI2;RPL27A;SLC25A3;RPL14;KPNA2;DTWD1;ATP5MF;HNRNPDL;NFU1	HLA_A	0.006597258026888774
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R009	9	TFPI2;RPL27A;SLC25A3;RPL14;KPNA2;DTWD1;ATP5MF;HNRNPDL;NFU1	CD274	0.017135263181599796
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R010	9	RPL23;RPL35A;TAGLN2;RPL12;ITGB1;TM2D1;TOP1;MDH2;SIAH2	HLA_A	0.040702692785309004
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R010	9	RPL23;RPL35A;TAGLN2;RPL12;ITGB1;TM2D1;TOP1;MDH2;SIAH2	CD274	0.07068095478743386
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R011	9	UBA52;GNG11;SET;RPL28;VDAC2;RNF34;HSPB1;PSMD1;OXSM	HLA_A	0.12533423947914607
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R011	9	UBA52;GNG11;SET;RPL28;VDAC2;RNF34;HSPB1;PSMD1;OXSM	CD274	0.05566454872178546
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R012	9	TUBB;TFPI2;FN1;RPL28;EMC7;SNX17;SEPT7;NOL7;EIF2B4	HLA_A	0.051527415921364485
immune_evasion_antigen_presentation	immune_evasion_antigen_presentation_R012	9	TUBB;TFPI2;FN1;RPL28;EMC7;SNX17;SEPT7;NOL7;EIF2B4	CD274	0.07719441085751241
